sim,scenario,lmm_coef,lmm_pval,lmm_reject,ancova_coef,ancova_pval,ancova_reject,lcmm_coef,lcmm_pval,lcmm_reject,jm_coef,jm_pval,jm_reject,jm_alpha,n_subjects,n_events
190,uniform,0.320383,0.004000,1,2.831395,0.007171,1,0.320314,0.000000,1,0.316541,0.005063,1,-0.061206,400,150
191,uniform,0.232527,0.017570,1,1.289619,0.151813,0,0.158452,0.058053,0,0.236002,0.018077,1,-0.075065,400,144
192,uniform,0.284547,0.003068,1,2.903595,0.001831,1,0.383177,0.004534,1,0.278894,0.004191,1,-0.050885,400,131
193,uniform,0.215956,0.035311,1,1.489625,0.135153,0,0.278856,0.007163,1,0.217497,0.035671,1,-0.047036,400,137
194,uniform,0.467537,0.000005,1,4.648528,0.000003,1,0.219870,0.000722,1,0.465270,0.000008,1,-0.083879,400,134
195,uniform,0.435422,0.000023,1,3.061884,0.001510,1,0.293642,0.000023,1,0.433697,0.000030,1,-0.051750,400,154
196,uniform,0.302511,0.004918,1,3.433858,0.000923,1,0.286375,0.000001,1,0.298232,0.006196,1,-0.061574,400,134
197,uniform,0.214322,0.035906,1,1.407025,0.150440,0,0.198245,0.000565,1,0.219756,0.034154,1,-0.070580,400,138
198,uniform,0.358039,0.000656,1,2.880938,0.003460,1,0.225993,0.009961,1,0.362222,0.000695,1,-0.073118,400,137
199,uniform,0.498159,0.000004,1,4.896113,0.000001,1,0.360603,0.000000,1,0.488718,0.000009,1,-0.076394,400,142
200,uniform,0.224033,0.034039,1,2.854544,0.005611,1,0.243374,0.000109,1,0.219344,0.040117,1,-0.049828,400,139
