sim,scenario,lmm_coef,lmm_pval,lmm_reject,ancova_coef,ancova_pval,ancova_reject,lcmm_coef,lcmm_pval,lcmm_reject,jm_coef,jm_pval,jm_reject,jm_alpha,n_subjects,n_events
142,null,-0.067273,0.487898,0,-1.040236,0.280851,0,0.050844,0.664003,0,-0.065774,0.502709,0,-0.059728,400,152
143,null,-0.068004,0.519056,0,-0.614007,0.535709,0,0.056128,0.340806,0,-0.070824,0.510958,0,-0.073618,400,151
144,null,-0.027494,0.784089,0,-0.608461,0.521497,0,0.066533,0.552860,0,-0.024078,0.813817,0,-0.073114,400,144
145,null,-0.010165,0.920075,0,-0.001299,0.998952,0,0.056934,0.461395,0,-0.013948,0.891995,0,-0.054376,400,152
146,null,0.122570,0.241435,0,1.052555,0.310317,0,0.160447,0.251424,0,0.117528,0.265473,0,-0.044738,400,129
147,null,-0.001714,0.985531,0,0.057974,0.949848,0,0.027358,0.809528,0,-0.004579,0.962039,0,-0.081845,400,145
148,null,-0.029500,0.789970,0,-0.089980,0.931421,0,0.072656,0.411275,0,-0.029347,0.794411,0,-0.074621,400,133
149,null,0.016291,0.871485,0,0.314384,0.742747,0,0.084440,0.135749,0,0.011520,0.910196,0,-0.069905,400,145
150,null,0.180228,0.106999,0,1.711481,0.099350,0,0.151700,0.114317,0,0.176163,0.121517,0,-0.069981,400,147
151,null,-0.143888,0.138198,0,-2.397173,0.008782,1,-0.025925,0.637386,0,-0.142927,0.147607,0,-0.071432,400,148
152,null,-0.019306,0.858353,0,0.517055,0.615561,0,0.089786,0.191696,0,-0.031189,0.776838,0,-0.074794,400,147
153,null,0.053848,0.596454,0,1.025186,0.292530,0,0.129029,0.240930,0,0.045656,0.659393,0,-0.073057,400,156
154,null,-0.163817,0.105793,0,-1.073521,0.285565,0,0.001590,0.977998,0,-0.166050,0.104242,0,-0.052644,400,139
155,null,0.015682,0.879454,0,0.437013,0.672194,0,0.005683,0.940268,0,0.010572,0.919333,0,-0.048744,400,129
156,null,-0.095059,0.319976,0,-0.753747,0.408059,0,0.230207,0.039884,1,-0.100534,0.301092,0,-0.063278,400,153
157,null,-0.059706,0.560383,0,-0.440672,0.664523,0,0.060133,0.389277,0,-0.059813,0.565603,0,-0.074645,400,122
158,null,-0.003107,0.976084,0,-0.712810,0.459037,0,0.164046,0.142273,0,0.000882,0.993308,0,-0.056158,400,154
